Trade_ID,Ticker,Status,Open_Date,Closed_Date,Shares,Avg_Entry,Avg_Exit,Total_Cost,Realized_PL,Unrealized_PL,Return_Pct,Buy_Rule,Sell_Rule,Notes,Amount,Value,Stop_Loss
2025-1,NVDA,CLOSED,2023-11-16 09:30:00,2025-01-29 16:00:00,652.0,110.44,125.34000000000002,72006.88,9714.800000000005,0.0,13.491488591090189,History,History,Imported,0.0,0.0,0.0
2025-2,PLTR,CLOSED,2024-08-08 09:30:00,2025-02-27 16:00:00,2282.0,65.16,74.58,148695.12,21496.44,0.0,14.456721915285453,History,History,Imported,0.0,0.0,0.0
2025-3,RDDT,CLOSED,2024-10-02 09:30:00,2025-02-20 16:00:00,886.0,133.5,152.62,118281.0,16940.320000000003,0.0,14.322097378277157,History,History,Imported,0.0,0.0,0.0
2025-4,DECK,CLOSED,2024-11-08 09:30:00,2025-01-31 16:00:00,150.0,180.85,182.84,27127.5,298.50000000000136,0.0,1.10035941387891,History,History,Imported,0.0,0.0,0.0
2025-5,ALAB,CLOSED,2024-11-13 09:30:00,2025-01-27 16:00:00,467.0,108.59,97.85,50711.53,-5015.5800000000045,0.0,-9.89041348190442,History,History,Imported,0.0,0.0,0.0
2025-6,NET,CLOSED,2025-01-02 09:30:00,2025-01-10 16:00:00,198.0,114.46,109.81999999999998,22663.08,-918.72,0.0,-4.053817927660319,History,History,Imported,0.0,0.0,0.0
2025-7,APP,CLOSED,2025-01-02 09:30:00,2025-01-07 16:00:00,66.0,339.75,327.52,22423.5,-807.1800000000012,0.0,-3.5997056659308373,History,History,Imported,0.0,0.0,0.0
2025-8,SPOT,CLOSED,2025-01-02 09:30:00,2025-02-03 16:00:00,67.0,469.52,531.57,31457.84,4157.350000000005,0.0,13.215624467541334,History,History,Imported,0.0,0.0,0.0
2025-9,IBKR,CLOSED,2025-01-02 09:30:00,2025-01-27 16:00:00,120.0,182.45,201.98,21894.0,2343.6000000000004,0.0,10.704302548643463,History,History,Imported,0.0,0.0,0.0
2025-10,GEV,CLOSED,2025-01-03 09:30:00,2025-01-27 16:00:00,75.0,351.4,356.86,26355.0,409.50000000000273,0.0,1.553784860557779,History,History,Imported,0.0,0.0,0.0
2025-11,MSTR,CLOSED,2025-01-03 09:30:00,2025-01-07 16:00:00,20.0,358.68,357.48,7173.6,-23.999999999999773,0.0,-0.3345600535296054,History,History,Imported,0.0,0.0,0.0
2025-12,ASAN,CLOSED,2025-01-08 09:30:00,2025-01-27 16:00:00,1098.0,19.49,20.05,21400.019999999997,614.8800000000025,0.0,2.873268342739878,History,History,Imported,0.0,0.0,0.0
2025-13,APP,CLOSED,2025-01-13 09:30:00,2025-01-27 16:00:00,66.0,315.14000000000004,337.03,20799.24,1444.739999999999,0.0,6.946119185124067,History,History,Imported,0.0,0.0,0.0
2025-14,CAVA,CLOSED,2025-01-14 09:30:00,2025-02-19 16:00:00,337.0,122.35,123.49,41231.95,384.1800000000002,0.0,0.9317531671434414,History,History,Imported,0.0,0.0,0.0
2025-15,KVYO,CLOSED,2025-01-14 09:30:00,2025-01-22 16:00:00,130.0,39.45,42.13,5128.5,348.4,0.0,6.793409378960709,History,History,Imported,0.0,0.0,0.0
2025-16,ISRG,CLOSED,2025-01-28 09:30:00,2025-01-31 16:00:00,26.0,572.67,573.26,14889.419999999998,15.340000000000828,0.0,0.1030261756334419,History,History,Imported,0.0,0.0,0.0
2025-17,GRMN,CLOSED,2025-01-28 09:30:00,2025-01-29 16:00:00,100.0,220.15,215.9,22015.0,-425.0,0.0,-1.9305019305019304,History,History,Imported,0.0,0.0,0.0
2025-18,LULU,CLOSED,2025-01-28 09:30:00,2025-02-03 16:00:00,52.0,412.67,403.41,21458.84,-481.5199999999995,0.0,-2.243923716286619,History,History,Imported,0.0,0.0,0.0
2025-19,DOCS,CLOSED,2025-01-28 09:30:00,2025-02-27 16:00:00,793.0,65.24,72.31,51735.31999999999,5606.510000000006,0.0,10.836909871244648,History,History,Imported,0.0,0.0,0.0
2025-20,SE,CLOSED,2025-01-28 09:30:00,2025-02-20 16:00:00,175.0,121.19,131.74,21208.25,1846.250000000002,0.0,8.705338724317198,History,History,Imported,0.0,0.0,0.0
2025-21,APP,CLOSED,2025-01-29 09:30:00,2025-02-20 16:00:00,88.0,390.2,427.96,34337.6,3322.879999999999,0.0,9.677088672475652,History,History,Imported,0.0,0.0,0.0
2025-22,XYZ,CLOSED,2025-01-29 09:30:00,2025-02-04 16:00:00,225.0,89.73,85.7,20189.25,-906.7500000000002,0.0,-4.491251532374903,History,History,Imported,0.0,0.0,0.0
2025-23,UAL,CLOSED,2025-01-29 09:30:00,2025-01-31 16:00:00,210.0,108.48,106.47,22780.8,-422.10000000000105,0.0,-1.8528761061946948,History,History,Imported,0.0,0.0,0.0
2025-24,SHOP,CLOSED,2025-01-30 09:30:00,2025-01-31 16:00:00,200.0,119.49,116.47,23898.0,-603.9999999999992,0.0,-2.52740815130973,History,History,Imported,0.0,0.0,0.0
2025-25,SNOW,CLOSED,2025-01-31 09:30:00,2025-02-05 16:00:00,120.0,185.50999999999996,183.73,22261.199999999997,-213.60000000000016,0.0,-0.9595170071694256,History,History,Imported,0.0,0.0,0.0
2025-26,NFLX,CLOSED,2025-02-03 09:30:00,2025-02-18 16:00:00,23.0,983.61,1035.18,22623.03,1186.110000000001,0.0,5.242931649739231,History,History,Imported,0.0,0.0,0.0
2025-27,COST,CLOSED,2025-02-03 09:30:00,2025-02-10 16:00:00,12.0,994.27,1049.91,11931.24,667.6800000000012,0.0,5.59606545505749,History,History,Imported,0.0,0.0,0.0
2025-28,IBKR,CLOSED,2025-02-03 09:30:00,2025-02-05 16:00:00,90.0,223.73,224.07,20135.7,30.600000000000307,0.0,0.151968891074064,History,History,Imported,0.0,0.0,0.0
2025-29,ISRG,CLOSED,2025-02-04 09:30:00,2025-02-05 16:00:00,36.0,591.3499999999999,588.21,21288.6,-113.03999999999952,0.0,-0.5309884163355013,History,History,Imported,0.0,0.0,0.0
2025-30,IOT,CLOSED,2025-02-05 09:30:00,2025-02-19 16:00:00,623.0,55.3,58.57999999999999,34451.9,2043.4400000000007,0.0,5.931283905967452,History,History,Imported,0.0,0.0,0.0
2025-31,AXON,CLOSED,2025-02-05 09:30:00,2025-02-10 16:00:00,33.0,678.93,675.0,22404.69,-129.68999999999835,0.0,-0.5788520171446173,History,History,Imported,0.0,0.0,0.0
2025-32,DUOL,CLOSED,2025-02-12 09:30:00,2025-02-18 16:00:00,45.0,386.0,428.8200000000001,17370.0,1926.8999999999996,0.0,11.093264248704662,History,History,Imported,0.0,0.0,0.0
2025-33,ARKK,CLOSED,2025-02-12 09:30:00,2025-02-19 16:00:00,540.0,62.56,67.13,33782.4,2467.7999999999965,0.0,7.304987212276204,History,History,Imported,0.0,0.0,0.0
2025-34,SHOP,CLOSED,2025-02-12 09:30:00,2025-02-18 16:00:00,144.0,122.0,126.92,17568.0,708.4800000000002,0.0,4.032786885245903,History,History,Imported,0.0,0.0,0.0
2025-35,SNOW,CLOSED,2025-02-12 09:30:00,2025-02-13 16:00:00,93.0,187.92,192.21000000000004,17476.559999999998,398.9700000000019,0.0,2.2828863346104837,History,History,Imported,0.0,0.0,0.0
2025-36,GTLB,CLOSED,2025-02-12 09:30:00,2025-02-13 16:00:00,246.0,70.32,70.52,17298.719999999998,49.2000000000007,0.0,0.2844141069397082,History,History,Imported,0.0,0.0,0.0
2025-37,AXON,CLOSED,2025-02-14 09:30:00,2025-02-19 16:00:00,54.0,675.09,669.9599999999999,36454.86,-277.01999999999975,0.0,-0.7598986801759758,History,History,Imported,0.0,0.0,0.0
2025-38,TWLO,CLOSED,2025-02-18 09:30:00,2025-02-19 16:00:00,154.0,125.43,120.4,19316.22,-774.6200000000001,0.0,-4.010204895160648,History,History,Imported,0.0,0.0,0.0
2025-39,META,CLOSED,2025-02-19 09:30:00,2025-02-20 16:00:00,51.0,699.14,696.95,35656.14,-111.689999999997,0.0,-0.3132419830076867,History,History,Imported,0.0,0.0,0.0
2025-40,ARKK,CLOSED,2025-02-19 09:30:00,2025-02-19 16:00:00,540.0,66.66,65.51,35996.4,-620.9999999999955,0.0,-1.7251725172517125,History,History,Imported,0.0,0.0,0.0
2025-41,PLTR,CLOSED,2025-02-20 09:30:00,2025-02-21 16:00:00,155.0,105.09,101.75,16288.95,-517.7000000000005,0.0,-3.178228185364929,History,History,Imported,0.0,0.0,0.0
2025-42,META,CLOSED,2025-02-25 09:30:00,2025-02-27 16:00:00,48.0,658.93,658.6999999999999,31628.64,-11.039999999995416,0.0,-0.0349050733765201,History,History,Imported,0.0,0.0,0.0
2025-43,NFLX,CLOSED,2025-02-25 09:30:00,2025-02-27 16:00:00,32.0,977.13,964.0,31268.16,-420.15999999999985,0.0,-1.343731130965173,History,History,Imported,0.0,0.0,0.0
2025-44,SPOT,CLOSED,2025-02-26 09:30:00,2025-02-27 16:00:00,52.0,605.43,592.25,31482.359999999997,-685.3599999999974,0.0,-2.176965132220067,History,History,Imported,0.0,0.0,0.0
2025-45,TQQQ,CLOSED,2025-02-28 09:30:00,2025-03-03 16:00:00,684.0,71.56,70.0,48947.04,-1067.0400000000016,0.0,-2.179988820570154,History,History,Imported,0.0,0.0,0.0
2025-46,TSLA,CLOSED,2025-02-28 09:30:00,2025-03-03 16:00:00,93.0,291.21,281.33,27082.53,-918.8399999999996,0.0,-3.392740633906801,History,History,Imported,0.0,0.0,0.0
2025-47,NFLX,CLOSED,2025-02-28 09:30:00,2025-03-03 16:00:00,30.0,975.7899999999998,968.76,29273.699999999997,-210.8999999999992,0.0,-0.7204418983592754,History,History,Imported,0.0,0.0,0.0
2025-48,NET,CLOSED,2025-02-28 09:30:00,2025-03-03 16:00:00,105.0,143.32,142.79000000000002,15048.6,-55.65000000000012,0.0,-0.3698018420318177,History,History,Imported,0.0,0.0,0.0
2025-49,PLTR,CLOSED,2025-03-03 09:30:00,2025-03-03 16:00:00,340.0,88.96000000000001,83.16000000000001,30246.4,-1971.999999999999,0.0,-6.5197841726618675,History,History,Imported,0.0,0.0,0.0
2025-50,TQQQ,CLOSED,2025-03-19 09:30:00,2025-03-20 16:00:00,243.0,61.91,61.06,15044.13,-206.54999999999865,0.0,-1.372960749475035,History,History,Imported,0.0,0.0,0.0
2025-51,DASH,CLOSED,2025-03-19 09:30:00,2025-03-20 16:00:00,80.0,190.52,191.2,15241.6,54.39999999999827,0.0,0.356917908880946,History,History,Imported,0.0,0.0,0.0
2025-52,TQQQ,CLOSED,2025-03-24 09:30:00,2025-03-26 16:00:00,240.0,65.21,64.44,15650.399999999998,-184.79999999999905,0.0,-1.180800490722276,History,History,Imported,0.0,0.0,0.0
2025-53,PLTR,CLOSED,2025-03-24 09:30:00,2025-03-28 16:00:00,377.0,94.41,90.54,35592.57,-1458.9899999999964,0.0,-4.099142040038122,History,History,Imported,0.0,0.0,0.0
2025-54,UPRO,CLOSED,2025-03-24 09:30:00,2025-03-28 16:00:00,239.0,79.87,80.31,19088.93,105.15999999999946,0.0,0.5508952047076471,History,History,Imported,0.0,0.0,0.0
2025-55,DOCS,CLOSED,2025-03-25 09:30:00,2025-03-26 16:00:00,225.0,67.19,64.21,15117.75,-670.5000000000009,0.0,-4.43518380711416,History,History,Imported,0.0,0.0,0.0
2025-56,SPOT,CLOSED,2025-03-27 09:30:00,2025-03-28 16:00:00,27.0,582.33,584.79,15722.910000000002,66.41999999999791,0.0,0.4224408840348123,History,History,Imported,0.0,0.0,0.0
2025-57,TQQQ,CLOSED,2025-04-11 09:30:00,2025-04-16 16:00:00,78.0,48.510000000000005,47.059999999999995,3783.78,-113.09999999999968,0.0,-2.9890744176458375,History,History,Imported,0.0,0.0,0.0
2025-58,QQQ,CLOSED,2025-04-11 09:30:00,2025-04-15 16:00:00,33.0,454.21,460.81,14988.929999999998,217.80000000000075,0.0,1.4530723674071515,History,History,Imported,0.0,0.0,0.0
2025-59,HOOD,CLOSED,2025-04-11 09:30:00,2025-04-16 16:00:00,327.0,43.6,41.51,14257.2,-683.4300000000011,0.0,-4.793577981651383,History,History,Imported,0.0,0.0,0.0
2025-60,PLTR,CLOSED,2025-04-11 09:30:00,2025-04-16 16:00:00,225.0,95.6,92.53,21510.0,-690.7499999999984,0.0,-3.2112970711297,History,History,Imported,0.0,0.0,0.0
2025-61,TQQQ,CLOSED,2025-04-22 09:30:00,2025-07-11 16:00:00,1423.0,64.61,74.38000000000001,91940.03,13902.709999999994,0.0,15.121498220089762,History,History,Imported,0.0,0.0,0.0
2025-62,HOOD,CLOSED,2025-04-23 09:30:00,2025-11-07 16:00:00,3045.0,84.28999999999999,101.1,256663.05,51186.44999999996,0.0,19.94305374303,History,History,Imported,0.0,0.0,0.0
2025-63,PLTR,CLOSED,2025-04-23 09:30:00,2025-09-04 16:00:00,1100.0,134.96,147.22,148456.0,13485.999999999987,0.0,9.08417308832246,History,History,Imported,0.0,0.0,0.0
2025-64,SPOT,CLOSED,2025-04-23 09:30:00,2025-04-29 16:00:00,25.0,607.49,558.3,15187.25,-1229.7500000000014,0.0,-8.097252629672926,History,History,Imported,0.0,0.0,0.0
2025-65,DASH,CLOSED,2025-04-23 09:30:00,2025-05-07 16:00:00,81.0,186.11,184.55,15074.910000000002,-126.36000000000018,0.0,-0.8382139594863265,History,History,Imported,0.0,0.0,0.0
2025-66,TSLA,CLOSED,2025-04-28 09:30:00,2025-04-29 16:00:00,26.0,294.34,280.9,7652.839999999999,-349.43999999999994,0.0,-4.566147992117958,History,History,Imported,0.0,0.0,0.0
2025-67,SPOT,CLOSED,2025-04-29 09:30:00,2025-07-18 16:00:00,107.0,637.9900000000001,669.23,68264.93000000001,3342.680000000001,0.0,4.896628473800531,History,History,Imported,0.0,0.0,0.0
2025-68,GEV,CLOSED,2025-04-30 09:30:00,2025-08-20 16:00:00,174.0,476.31999999999994,598.8199999999999,82879.68,21315.00000000001,0.0,25.718004702720876,History,History,Imported,0.0,0.0,0.0
2025-69,HIMS,CLOSED,2025-04-30 09:30:00,2025-06-23 16:00:00,1555.0,49.15,49.14,76428.25,-15.549999999996906,0.0,-0.0203458799593041,History,History,Imported,0.0,0.0,0.0
2025-70,BKNG,CLOSED,2025-04-30 09:30:00,2025-05-09 16:00:00,3.0,5039.17,5112.61,15117.51,220.3199999999988,0.0,1.4573828626539609,History,History,Imported,0.0,0.0,0.0
